group,task,intent,applicability,implementation,evidence,method,status,gap
PO,PO.1.1,"Identify and document all security requirements for the organization’s software development infrastructures and processes, and maintain the requirements over time.",APPLICABLE,"Lifecycle, infrastructure and release requirements documented.",docs/security/SECURE_SDLC.md,Manual,IMPLEMENTED,Review on each release
PO,PO.1.2,"Identify and document all security requirements for organization-developed software to meet, and maintain the requirements over time.",APPLICABLE,All requirement rows assessed.,docs/security/OWASP_ASVS_5.0.0_MAPPING.csv,Manual,PARTIAL,Close applicable L1 gaps
PO,PO.1.3,Communicate requirements to all third parties who will provide commercial software components to the organization for reuse by the organization’s own software. [Formerly PW.3.1],APPLICABLE,Component selection and update policy.,requirements.lock.txt; docs/security/VULNERABILITY_MANAGEMENT.md,Manual,PARTIAL,No supplier requirements/attestation agreement evidence
PO,PO.2.1,"Create new roles and alter responsibilities for existing roles as needed to encompass all parts of the SDLC. Periodically review and maintain the defined roles and responsibilities, updating them as needed.",APPLICABLE,Maintainer explicitly owns all lifecycle stages.,docs/security/SECURE_SDLC.md,Manual,IMPLEMENTED,Reassess when contributors join
PO,PO.2.2,"Provide role-based training for all personnel with responsibilities that contribute to secure development. Periodically review personnel proficiency and role-based training, and update the training as needed.",APPLICABLE,Training gap recorded.,docs/security/OWASP_SAMM_ROADMAP.md,Manual,NOT IMPLEMENTED,Record role-specific training and proficiency review
PO,PO.2.3,"Obtain upper management or authorizing official commitment to secure development, and convey that commitment to all with development-related roles and responsibilities.",APPLICABLE,Maintainer release authority defined.,docs/security/SECURE_SDLC.md,Manual,PARTIAL,Owner sign-off and periodic review evidence pending
PO,PO.3.1,"Specify which tools or tool types must or should be included in each toolchain to mitigate identified risks, as well as how the toolchain components are to be integrated with each other.",APPLICABLE,"Tools, stage integration and evidence defined.",docs/security/SECURITY_TESTING.md,Manual,IMPLEMENTED,Maintain pins
PO,PO.3.2,"Follow recommended security practices to deploy, operate, and maintain tools and toolchains.",APPLICABLE,Pins and least privilege prepared.,.github/workflows/ci.yml; requirements-assurance.lock.txt,Automated + Manual,PARTIAL,Remote execution and settings unverified
PO,PO.3.3,Configure tools to generate artifacts  of their support of secure software development practices as defined by the organization.,APPLICABLE,Structured SBOM/gate evidence configured.,scripts/generate_sbom.py; scripts/release_security_gate.py,Automated + Manual,PARTIAL,Hosted evidence absent
PO,PO.4.1,Define criteria for software security checks and track throughout the SDLC.,APPLICABLE,Mandatory controls and refusal criteria defined.,docs/security/SECURE_SDLC.md; scripts/release_security_gate.py,Automated + Manual,IMPLEMENTED,Apply on every release
PO,PO.4.2,"Implement processes, mechanisms, etc. to gather and safeguard the necessary information in support of the criteria.",APPLICABLE,Machine evidence and missing-result rejection.,scripts/release_security_gate.py,Automated + Manual,PARTIAL,Hosted retention/required checks pending
PO,PO.5.1,Separate and protect each environment involved in software development.,APPLICABLE,Disposable tests and separated assurance environment.,tests/conftest.py; .github/workflows/ci.yml,Automated + Manual,PARTIAL,Development shares live host; remote isolation pending
PO,PO.5.2,"Secure and harden development endpoints (i.e., endpoints for software designers, developers, testers, builders, etc.) to perform development-related tasks using a risk-based approach.",APPLICABLE,Data DACL script.,scripts/protect_local_data.ps1,Automated + Manual,PARTIAL,Endpoint patching/FDE/account posture not assessed
PS,PS.1.1,"Store all forms of code – including source code, executable code, and configuration-as-code –  based on the principle of least privilege so that only authorized personnel, tools, services, etc. have access.",APPLICABLE,Local Git and least-privilege workflow.,.github/workflows/ci.yml,Automated + Manual,PARTIAL,Remote branch rules/account protections not configured
PS,PS.2.1,Make software integrity verification information available to software acquirers.,APPLICABLE,Digest and manifest produced locally.,scripts/build_release.py,Automated + Manual,PARTIAL,No distributed verified release/provenance
PS,PS.3.1,"Securely archive the necessary files and supporting data (e.g., integrity verification information, provenance data) to be retained for each software release.",APPLICABLE,Local artifact handling and private preservation.,scripts/build_release.py; docs/security/RISK_REGISTER.md,Automated + Manual,PARTIAL,Protected published archive/retention unverified
PS,PS.3.2,"Collect, safeguard, maintain, and share provenance data for all components of each software release (e.g., in a software bill of materials [SBOM]).",APPLICABLE,CycloneDX inventory and graph.,scripts/generate_sbom.py; security/sbom.cdx.json,Automated + Manual,PARTIAL,Hosted provenance/distribution pending
PW,PW.1.1,"Use forms of risk modeling – such as threat modeling, attack modeling, or attack surface mapping – to help assess the security risk for the software.",APPLICABLE,STRIDE boundaries and abuse cases reviewed.,docs/security/THREAT_MODEL.md,Manual,IMPLEMENTED,Revisit on design change
PW,PW.1.2,"Track and maintain the software’s security requirements, risks, and design decisions.",APPLICABLE,"Requirements, risks and decisions tracked.",docs/security/RISK_REGISTER.md; docs/security/OWASP_ASVS_5.0.0_MAPPING.csv,Manual,IMPLEMENTED,Review every release
PW,PW.1.3,"Where appropriate, build in support for using standardized security features and services (e.g., enabling software to integrate with existing log management, identity management, access control, and vulnerability management systems) instead of creating proprietary implementations of security features and services. [Formerly PW.4.3]",APPLICABLE,Native credential store and structured local events.,backend/privacy.py; backend/security_events.py,Manual,PARTIAL,No identity/log service integration; intentional local scope
PW,PW.2.1,Have 1) a qualified person (or people) who were not involved with the design and/or 2) automated processes instantiated in the toolchain review the software design to confirm and enforce that it meets all of the security requirements and satisfactorily addresses the identified risk information.,APPLICABLE,Automated boundary regressions plus maintainer review.,tests/security/test_http_boundary.py; docs/security/ARCHITECTURE_INVENTORY.md,Automated + Manual,PARTIAL,No independent design reviewer or full design-rule verification
PW,PW.4.1,"Acquire and maintain well-secured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, open-source, and other third-party developers for use by the organization’s software.",APPLICABLE,Pinned maintained dependencies.,requirements.lock.txt; frontend/package-lock.json,Manual,PARTIAL,Supplier/component assurance remains incomplete
PW,PW.4.2,Create and maintain well-secured software components in-house following SDLC processes to meet common internal software development needs that cannot be better met by third-party software components.,APPLICABLE,Reusable central security controls.,backend/policy.py; backend/document_security.py,Manual,PARTIAL,Complete ASVS verification outstanding
PW,PW.4.4,"Verify that acquired commercial, open-source, and all other third-party software components comply with the requirements, as defined by the organization, throughout their life cycles.",APPLICABLE,SCA and inventory available.,scripts/generate_sbom.py; .github/workflows/ci.yml,Automated + Manual,PARTIAL,Audits do not establish all supplier requirements
PW,PW.5.1,Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization’s requirements.,APPLICABLE,Coding controls and regressions present.,tests/security; docs/security/OWASP_ASVS_5.0.0_MAPPING.csv,Automated + Manual,PARTIAL,Open control-level findings
PW,PW.6.1,"Use compiler, interpreter, and build tools that offer features to improve executable security.",APPLICABLE,Modern Python/TypeScript tooling.,setup.bat; frontend/tsconfig.json,Manual,PARTIAL,Bundled native toolchain security not fully assessed
PW,PW.6.2,"Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations.",APPLICABLE,Explicit runtime and exact dependencies.,setup.bat; requirements.lock.txt,Manual,PARTIAL,3.14 verification and native build-option inventory pending
PW,PW.7.1,"Determine whether code review (a person looks directly at the code to find issues) and/or code analysis (tools are used to find issues in code, either in a fully automated way or in conjunction with a person) should be used, as defined by the organization.",APPLICABLE,Manual and SAST verification strategy defined.,docs/security/SECURITY_TESTING.md,Manual,IMPLEMENTED,Review by change risk
PW,PW.7.2,"Perform the code review and/or code analysis based on the organization’s secure coding standards, and record and triage all discovered issues and recommended remediations in the development team’s workflow or issue tracking system.",APPLICABLE,Findings recorded and SAST configured.,.github/workflows/codeql.yml; docs/security/RISK_REGISTER.md,Automated + Manual,PARTIAL,CodeQL never executed remotely
PW,PW.8.1,"Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used.",APPLICABLE,Executable boundary/abuse tests required.,docs/security/SECURITY_TESTING.md,Manual,IMPLEMENTED,Maintain coverage
PW,PW.8.2,"Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team’s workflow or issue tracking system.",APPLICABLE,Disposable regression suite.,tests/security; tests/conftest.py,Automated + Manual,PARTIAL,Full ASVS and clean-host acceptance pending
