id,level,chapter,section,requirement,applicability,rationale,control,verification_method,evidence,result,gap
v5.0.0-1.1.1,2,Encoding and Sanitization,Encoding and Sanitization Architecture,"Verify that input is decoded or unescaped into a canonical form only once, it is only decoded when encoded data in that form is expected, and that this is done before processing the input further, for example it is not performed after input validation or sanitization.",APPLICABLE,adapters.clean unescapes HTML twice; canonicalization order conflicts with the requirement.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,FAIL,adapters.clean unescapes HTML twice; canonicalization order conflicts with the requirement.
v5.0.0-1.1.2,2,Encoding and Sanitization,Encoding and Sanitization Architecture,Verify that the application performs output encoding and escaping either as a final step before being used by the interpreter for which it is intended or by the interpreter itself.,APPLICABLE,Requirement applies to the Encoding and Sanitization Architecture surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.2.1,1,Encoding and Sanitization,Injection Prevention,"Verify that output encoding for an HTTP response, HTML document, or XML document is relevant for the context required, such as encoding the relevant characters for HTML elements, HTML attributes, HTML comments, CSS, or HTTP header fields, to avoid changing the message or document structure.",APPLICABLE,Requirement applies to the Injection Prevention surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.2.2,1,Encoding and Sanitization,Injection Prevention,"Verify that when dynamically building URLs, untrusted data is encoded according to its context (e.g., URL encoding or base64url encoding for query or path parameters). Ensure that only safe URL protocols are permitted (e.g., disallow javascript: or data:).",APPLICABLE,Requirement applies to the Injection Prevention surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.2.3,1,Encoding and Sanitization,Injection Prevention,"Verify that output encoding or escaping is used when dynamically building JavaScript content (including JSON), to avoid changing the message or document structure (to avoid JavaScript and JSON injection).",APPLICABLE,Requirement applies to the Injection Prevention surface; Encoding/interpreter review incomplete across every sink.,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,Source review; additional requirement-specific verification required,backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,PARTIAL,Encoding/interpreter review incomplete across every sink.
v5.0.0-1.2.4,1,Encoding and Sanitization,Injection Prevention,"Verify that data selection or database queries (e.g., SQL, HQL, NoSQL, Cypher) use parameterized queries, ORMs, entity frameworks, or are otherwise protected from SQL Injection and other database injection attacks. This is also relevant when writing stored procedures.",APPLICABLE,SQLAlchemy persistence uses parameters; adversarial query text stays data.,tests/security/test_http_boundary.py::test_http_security_boundary,Source/document review and existing regression (execution status in release evidence),tests/security/test_http_boundary.py::test_http_security_boundary,PASS,
v5.0.0-1.2.5,1,Encoding and Sanitization,Injection Prevention,Verify that the application protects against OS command injection and that operating system calls use parameterized OS queries or use contextual command line output encoding.,APPLICABLE,Reviewed subprocess calls use explicit argument arrays; no application shell=True.,backend/document_security.py; backend/browser.py; backend/reliability.py,Source/document review,backend/document_security.py; backend/browser.py; backend/reliability.py,PASS,
v5.0.0-1.2.6,2,Encoding and Sanitization,Injection Prevention,"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented.",NOT APPLICABLE,No LDAP client or directory query interpreter.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.2.7,2,Encoding and Sanitization,Injection Prevention,Verify that the application is protected against XPath injection attacks by using query parameterization or precompiled queries.,NOT APPLICABLE,No XPath queries constructed from external input.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
v5.0.0-1.2.8,2,Encoding and Sanitization,Injection Prevention,"Verify that LaTeX processors are configured securely (such as not using the ""--shell-escape"" flag) and an allowlist of commands is used to prevent LaTeX injection attacks.",NOT APPLICABLE,No LaTeX processor or LaTeX template pipeline.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/policy.py; backend/document_security.py; backend/models.py; frontend/src,N/A,Reassess if this mechanism is introduced
